,Product name,Product weight,Product flavour,Views,Rating,Assurance,Original price,Final price
0,"MUSCLEBLAZE Creatine Monohydrate, India's Only Labdoor ...",100 , Unflavored,"50,959",4.2,True,899,549
1,Kobra Labs The Bull Mass Gainer Weight Gainers/Mass Gai...,1 kg,Chocolate,"28,973",4.2,True,"1,199",500
2,AS-IT-IS Nutrition Creatine Monohydrate | USA Labdoor C...,100 , unflavored,523,4.3,True,650,449
3,"HEALTHKART HK Vitals ProteinUp Active, for Energy with ...",400 , Chocolate + Shaker,"97,866",4.3,True,"1,198",679
4,MUSCLEBLAZE Super Gainer XXL Weight Gainers/Mass Gainer...,1 kg,Chocolate,"5,942",4,True,"1,719",899
5,AS-IT-IS Nutrition ATOM 1kg with Digestive Enzymes | 27...,1000,", Double Rich Chocolate","95,271",4.2,True,"2,599","1,775"
6,BIGMUSCLES NUTRITION Real Mass Gainer Weight Gainers/Ma...,1 kg,Chocolate,"1,363",4,True,"1,199",699
7,GNC Micronized Monohydrate Creatine,100 , Unflavoured,"5,442",4.3,True,999,599
8,"Optimum Nutrition ON Micronized Creatine Powder, Suppor...",250 , Unflavored,"95,271",4.4,True,"1,399","1,159"
9,BIGMUSCLES NUTRITION Real Mass Gainer Weight Gainers/Ma...,1.5 ,", Chocolate","64,055",4,True,"1,649",919
10,BIGMUSCLES NUTRITION Premium Gold Whey Whey Protein,1 kg,Belgian Chocolate,15,4.1,True,"2,999","1,699"
11,GNC Pro Performance Bulk 1340 | Promotes Targeted Gains...,4 kg,Chocolate,"1,00,655",4.2,True,"6,599","4,157"
12,"MUSCLEBLAZE Creatine Monohydrate, India's Only Labdoor ...",250 , Unflavored,"25,845",4.2,True,"1,649","1,099"
13,BIGMUSCLES NUTRITION Essential Whey Protein | 24g Prote...,1 kg,Dutch Chocolate,"94,745",4,True,"1,749",975
14,Endura Mass Weight Gainers/Mass Gainers,500 , Chocolate,"2,681",4,True,625,562
15,GNC Pro Performance Whey Protein,4 po,"ds, Chocolate Supreme","65,371",4.2,True,"7,499","4,499"
16,AS-IT-IS Nutrition Whey Protein Concentrate 80% Unflavo...,1000,", Unflavored","4,161",4.2,True,"2,599","1,799"
17,BIGMUSCLES NUTRITION THE REAL CREA 100G COLA SODA Creat...,100 , COLA SODA,"28,973",4.3,True,699,398
18,AS-IT-IS Nutrition Creatine Monohydrate | USA Labdoor C...,250 , Unflavored,"4,597",4.3,True,"1,399",899
19,BEST CHOICE NUTRITION GROW BODY Whey Protein FOR WEIGHT...,500 , Chocolate,"95,271",3.9,True,799,180
20,BIGMUSCLES NUTRITION Real Mass Gainer 3Kg Weight Gainer...,3 kg,Chocolate,"25,845",4,True,"3,299","1,749"
21,BIGMUSCLES NUTRITION Essential Whey Protein | 24g Prote...,1 kg,Kesar Kulfi,"14,406",4,True,"1,749",974
22,GNC Pro Performance Weight Gainer Weight Gainers/Mass G...,3 kg,Double Chocolate,325,4,True,"3,499","2,099"
23,ADVANCE MUSCLEMASS BCAA 2 : 1 : 1 | Energy drink for Wo...,200 , Orange,"93,061",4,True,"2,100",649
24,Optimum Nutrition (ON) Gold Standard 100% Protein Powde...,907 , Chocolate Peanut Butter,"50,959",4.2,True,"4,299","2,999"
25,Kobra Labs The Bull Mass Gainer Weight Gainers/Mass Gai...,1 kg,Cookies,"14,406",4.2,True,"1,199",500
26,GNC Pro Performance Weight Gainers/Mass Gainers,970 , Double Chocolate,70,4,True,"1,349",799
27,GNC Pro Performance Pre-Workout | Boosts Energy & Endur...,360 , Blueberry,"1,539",4.4,True,"2,599","1,611"
28,AS-IT-IS Nutrition ATOM Creatine Monohydrate 100g - 32 ...,100 , Mint Mojito,249,4.3,True,714,500
29,BIGMUSCLES NUTRITION Creatine Monohydrate [50 Servings]...,150 , Mango Martini,"93,061",4.3,True,925,500
30,Optimum Nutrition (ON) Gold Standard 100% Protein Powde...,907 , Double Rich Chocolate,"94,745",4.2,True,"3,899","3,314"
31,Endura Mass Weight Gainers/Mass Gainers,500 , Cappuccino,"2,415",4,True,625,562
32,FAST&UP Creatine Monohydrate Essentials-83 Servings Cre...,250 , Unflavored,"93,061",4.3,True,"1,699","1,009"
33,Optimum Nutrition (ON) Gold Standard 100% Protein Powde...,454 , Double Rich Chocolate,"97,866",4.2,True,"2,049","1,742"
34,"MUSCLEBLAZE Super Gainer XXL, For Muscle Mass Gain, 1 k...",1 kg,Chocolate Bliss,"2,348",4,True,"1,719",999
35,AXIR LIFE SCIENCE KING NUTRITION WEIGHT GAINER WITH ENZ...,4.4 ,"unds, RICH CHOCOLATE FLAVOUR","28,937",4.1,True,"3,499",865
36,Optimum Nutrition ON Serious Mass High Protein with Vit...,1 kg,Kulfi,"7,415",4,True,"1,399","1,080"
37,Nakpro PERFORM Whey Protein Supplement Powder - Cookies...,1 kg,Cookies & Cream,"7,454",4.3,True,"2,299","1,399"
38,"Tata GOFIT Protein Powder for Women,Trial Pack, Cafe Mo...",250 ," Chocolate, Coffee","2,348",1,True,"1,900",849
39,AXIR LIFE SCIENCE KING NUTRITION WEIGHT GAINER WITH ASH...,1 kg,RICH CHOCOLATE FLAVOUR,"1,00,655",4.1,True,899,695
40,"MUSCLEBLAZE Creatine Monohydrate, India's Only Labdoor ...",100 , Unflavored,"50,959",4.2,True,"1,199",549
41,Kobra Labs The Bull Mass Gainer Weight Gainers/Mass Gai...,1 kg,Chocolate,"28,973",4.2,True,650,500
42,AS-IT-IS Nutrition Creatine Monohydrate | USA Labdoor C...,100 , unflavored,"97,866",4.3,True,"1,719",449
43,MUSCLEBLAZE Super Gainer XXL Weight Gainers/Mass Gainer...,1 kg,Chocolate,"95,271",4,True,"1,199",899
44,BIGMUSCLES NUTRITION Real Mass Gainer Weight Gainers/Ma...,1 kg,Chocolate,523,4,True,"1,198",699
45,"HEALTHKART HK Vitals ProteinUp Active, for Energy with ...",400 , Chocolate + Shaker,"5,942",4.3,True,"2,599",679
46,AS-IT-IS Nutrition ATOM 1kg with Digestive Enzymes | 27...,1000,", Double Rich Chocolate","5,442",4.2,True,"1,399","1,775"
47,"Optimum Nutrition ON Micronized Creatine Powder, Suppor...",250 , Unflavored,"95,271",4.4,True,"1,649","1,159"
48,BIGMUSCLES NUTRITION Real Mass Gainer Weight Gainers/Ma...,1.5 ,", Chocolate",4,4,True,"3,099",919
49,Tata GOFIT Plant-Based Protein,1 kg,Cafe Mocha,"64,055",4.3,True,"2,999","1,549"
50,BIGMUSCLES NUTRITION Premium Gold Whey Whey Protein,1 kg,Belgian Chocolate,"94,745",4.1,True,625,"1,699"
51,Endura Mass Weight Gainers/Mass Gainers,500 , Chocolate,"65,371",4,True,"2,599",562
52,AS-IT-IS Nutrition Whey Protein Concentrate 80% Unflavo...,1000,", Unflavored",15,4.2,True,"6,599","1,799"
53,GNC Pro Performance Bulk 1340 | Promotes Targeted Gains...,4 kg,Chocolate,"1,00,655",4.2,True,"1,649","4,157"
54,"MUSCLEBLAZE Creatine Monohydrate, India's Only Labdoor ...",250 , Unflavored,"4,161",4.2,True,699,"1,099"
55,BIGMUSCLES NUTRITION THE REAL CREA 100G COLA SODA Creat...,100 , COLA SODA,"28,973",4.3,True,"1,399",398
56,AS-IT-IS Nutrition Creatine Monohydrate | USA Labdoor C...,250 , Unflavored,151,4.3,True,"2,549",899
57,MUSCLEBLAZE Raw Whey Protein Concentrate 70% with Added...,1 kg,Unflavoured,"95,271",4.4,True,"3,299","1,749"
58,BIGMUSCLES NUTRITION Real Mass Gainer 3Kg Weight Gainer...,3 kg,Chocolate,"25,845",4,True,"1,749","1,749"
59,BIGMUSCLES NUTRITION Essential Whey Protein | 24g Prote...,1 kg,Kesar Kulfi,"14,406",4,True,"3,499",974
60,GNC Pro Performance Weight Gainer Weight Gainers/Mass G...,3 kg,Double Chocolate,224,4,True,"1,699","2,099"
61,AXIR LIFE SCIENCE KING NUTRITION MASS GAINER VANILLA FL...,1 kg,VANILLA FLAVOUR,"93,061",4,True,"4,299",730
62,Optimum Nutrition (ON) Gold Standard 100% Protein Powde...,907 , Chocolate Peanut Butter,"50,959",4.2,True,"1,199","2,999"
63,Kobra Labs The Bull Mass Gainer Weight Gainers/Mass Gai...,1 kg,Cookies,"14,406",4.2,True,"1,349",500
64,GNC Pro Performance Weight Gainers/Mass Gainers,970 , Double Chocolate,"4,597",4,True,799,799
65,BEST CHOICE NUTRITION GROW BODY Whey Protein FOR WEIGHT...,500 , Chocolate,"1,539",3.9,True,714,180
66,AS-IT-IS Nutrition ATOM Creatine Monohydrate 100g - 32 ...,100 , Mint Mojito,"2,415",4.3,True,"1,699",500
67,FAST&UP Creatine Monohydrate Essentials-83 Servings Cre...,250 , Unflavored,249,4.3,True,925,"1,009"
68,BIGMUSCLES NUTRITION Creatine Monohydrate [50 Servings]...,150 , Mango Martini,9,4.3,True,"7,149",500
69,Body Core Science Anabolic Gainer-5Kg With Shaker (Choc...,5 kg,Chocolate,"93,061",3.8,True,"3,899","2,208"
70,Optimum Nutrition (ON) Gold Standard 100% Protein Powde...,907 , Double Rich Chocolate,"97,866",4.2,True,"1,719","3,314"
71,"MUSCLEBLAZE Super Gainer XXL, For Muscle Mass Gain, 1 k...",1 kg,Chocolate Bliss,"93,061",4,True,"2,049",999
72,Optimum Nutrition (ON) Gold Standard 100% Protein Powde...,454 , Double Rich Chocolate,421,4.2,True,"1,900","1,742"
73,AXIR LIFE SCIENCE KING NUTRITION WEIGHT GAINER WITH ENZ...,1 kg,RICH CHOCOLATE FLAVOUR,"28,937",4.1,True,"1,399",584
74,Optimum Nutrition ON Serious Mass High Protein with Vit...,1 kg,Kulfi,"7,415",4,True,"2,299","1,080"
75,Nakpro PERFORM Whey Protein Supplement Powder - Cookies...,1 kg,Cookies & Cream,"7,454",4.3,True,599,"1,399"
76,Optimum Nutrition (ON) Gold Standard 100% Powder - Prim...,152 , Double Rich Chocolate,"64,055",4.2,True,800,680
77,BIGMUSCLES NUTRITION Premium Gold Whey | 25g Protein Pe...,500 , Belgian Chocolate,"35,154",4.1,True,"1,649",949
78,MUSCLEBLAZE Raw Whey Protein Concentrate 80% with Diges...,2 kg,Unflavored,"50,959",4.2,True,"5,599","3,699"
79,Kobra Labs The Bull Mass Gainer Weight Gainers/Mass Gai...,1 kg,Chocolate,"93,962",4.2,True,"1,199",500
80,"MUSCLEBLAZE Super Gainer XXL, For Muscle Mass Gain Weig...",2 kg,Cookies & Cream,"1,457",4.1,True,"3,149","1,798"
81,US KART USKART CREATINE MONOHYDRATE Creatine,"100,",range,"6,384",4,True,849,205
82,BIGMUSCLES NUTRITION Freak Sex on the Beach Pre-workout...,180 , Sex On The Beach,"1,363",4.1,True,"1,299",999
83,GNC Micronized Monohydrate Creatine,100 , Unflavoured,"93,962",4.3,True,999,599
84,"MUSCLEBLAZE Super Gainer xxl (Banana, 5 Kg/ 11 lb) Weig...",5 kg,Banana,"5,003",4.1,True,"6,449","3,698"
85,Nakpro PLATINUM 100% Whey Protein Isolate Supplement Po...,1 kg,Chocolate,"4,161",4.2,True,"3,499","1,999"
86,BIGMUSCLES NUTRITION The Real Crea 33 Servings Microniz...,100 , Tropical Madness,523,4.3,True,799,399
87,"HEALTHKART HK Vitals ProteinUp Active, for Energy with ...",400 , Chocolate + Shaker,"62,960",4.3,True,"1,198",679
88,MUSCLEBLAZE Beginner's Whey Protein,400 , Chocolate,"11,008",4.2,True,849,748
89,Muscle Asylum Micronized Creatine Monohydrate Powder 20...,100 , Fruit Punch,"35,154",4.2,True,499,275
90,MUSCLEBLAZE Raw Whey Protein Concentrate 80% with Diges...,500 , Unflavored,15,4.2,True,"1,469",999
91,GNC Pro Performance Bulk 1340 | Promotes Targeted Gains...,4 kg,Chocolate,"4,275",4.2,True,"6,599","4,157"
92,Nakpro GOLD 100% Whey Protein Concentrate Supplement Po...,1 kg,Chocolate,"3,271",4.2,True,"2,299","1,699"
93,BEST CHOICE NUTRITION GROW BODY CAPSULE FOR WEIGHT GAIN...,60 C,"sules, Unflavored","94,745",3.9,True,799,144
94,Endura Mass Weight Gainers/Mass Gainers,500 , Banana,"2,681",4,True,625,562
95,GNC Pro Performance Whey Protein,4 po,"ds, Chocolate Supreme","12,803",4.2,True,"7,499","4,499"
96,MUSCLEBLAZE CreaPRO Creatine with Creapure powder from ...,250 , Unflavored,"5,194",4.3,True,"1,649","1,149"
97,GNC Pro Performance Creatine Monohydrate 3000 mg (250gm...,250 , Unflavored,"12,803",4.3,True,"2,199","1,199"
98,MUSCLEBLAZE CreaPRO Creatine with Creapure powder from ...,0.1 ,", Unflavoured","4,597",4.3,True,899,699
99,BEST CHOICE NUTRITION GROW BODY Whey Protein FOR WEIGHT...,500 , Chocolate,"3,666",3.9,True,799,180
100,"AS-IT-IS Nutrition CREAPURE, German Made Micronized Cre...",100 , Unflavored,"16,454",4.2,True,699,499
101,"MUSCLEBLAZE BCAA Pro Two Flavour Pack, Watermelon & Gre...",250 , Water Melon & Green Apple,"12,137",4.2,True,"1,249","1,017"
102,"MUSCLEBLAZE Biozyme Performance, Informed Choice UK & L...",1 kg,Rich Chocolate,70,4.4,True,"3,449","2,499"
103,GNC Pro Performance Pre-Workout | Boosts Energy & Endur...,360 , Blueberry,"95,271",4.4,True,"2,599","1,611"
104,BIGMUSCLES NUTRITION Real Mass Gainer | High Protein Mu...,3 kg,Chocolate Brownie,"93,061",4,True,"3,299","1,748"
